Question,SelectedAnswer,CorrectAnswer,Correct
(Easy) Identify the correct syntax:,return(5);,return(5);,True
(Easy) Which of the following is true about array length?,It is fixed after creation,It is fixed after creation,True
(Easy) Which of the following will produce a compile-time error?,arr[5] = 10;,arr[5] = 10;,True
(Easy) Which data type can be returned from a method?,Objects,All of the above,False
(Easy) What is array index range for an array of length 5?,0–5,0–4,False
(Easy) Which of the following is a valid array initialization?,int arr = new int[3];,int[] arr = new int[3];,False
(Easy) Which keyword cannot be used with return?,value,break,False
(Medium) What will be printed? int arr[] = new int[3]; System.out.print(arr[1]);,null,0,False
(Medium) What value is returned? static int test(){ int a = 5; return a++; },6,5,False
(Medium) If a method has two parameters of different types  the order:,Must match in method call,Must match in method call,True
(Medium) What defines a method’s signature in Java?,Method name only,Method name and parameter list,False
(Medium) What value is returned after casting? static int test() { return (int)3.9; },4,3,False
(Medium) Which method call is valid for: void test(double a  int b),test(5.0  6),test(5.0  6),True
(Medium) What is the output? int arr[] = {3  6  9}; for(int i = 0; i < arr.length; i++) { arr[i] *= 2; } System.out.println(arr[1]);,12,12,True
(Hard) Evaluate the output. static int test(){ return 2 + 3 * 4; },14,14,True
(Hard) Can a parameter name be same as instance variable?,Yes,Yes,True
(Hard) What will be the output? void change(int x  int y) { x = x + y; } public static void main(String[] args) { int a = 5  b = 3; change(a  b); System.out.println(a); },5,5,True
(Hard) Analyze the following loop carefully. Notice that the loop variable is modified inside the loop body. What value will be printed after the loop completes execution? int arr[] = {1 2 3}; int sum = 0; for(int i = 0; i < arr.length; i++) { sum += arr[i++]; } System.out.print(sum);,4,4,True
(Hard) If method signature is: void test(Object o) Which call is valid?,test("Hello");,All of the above,False
(Hard) Determine what will be returned by calc(). static int calc(){ return (int) 4.9; },5,4,False

Total Score,'10/20'
