Question,Topic,Difficulty,Weight,SelectedAnswer,CorrectAnswer,Correct
(Easy) Which method converts a string to lowercase?,Strings,Easy,0.25,toSmallCase(),toLowerCase(),False
(Easy) What is the index of the first character in a Java string?,Strings,Easy,0.25,-1,0,False
(Easy) What does the length() method return when called on a string object?,Strings,Easy,0.25,The index of the last character,The total number of characters in the string,False
(Easy) Which data type is used to store a single character in Java?,Data types and Variables,Easy,0.25,char,char,True
(Easy) Which class is commonly used to read user input in Java?,Input/Output,Easy,0.25,ConsoleFile,Scanner,False
(Easy) System.out.println(5); prints:,Input/Output,Easy,0.25,"5",5,False
(Easy) What is the result of 10 > 3?,Operators,Easy,0.25,false,true,False
(Medium) Which variable type stores true or false values only?,Data types and Variables,Medium,0.60,flag,boolean,False
(Easy) Escape sequences begin with:,Input/Output,Easy,0.25,%,\,False
(Easy) Which keyword is used to declare an integer variable?,Basic Syntax and Comments,Easy,0.25,int,int,True
(Medium) Which of the following is a correct if statement syntax in Java/C#?,Basic Syntax and Comments,Medium,0.60,if x>5{},if (x>5) {},False
(Easy) What does && represent?,Operators,Easy,0.25,Logical NOT,Logical AND,False
(Medium) Which line correctly assigns a value to an existing variable?,Basic Syntax and Comments,Medium,0.60,x=5,x=5,False
(Easy) What is the result of 12 + 4?,Operators,Easy,0.25,8,16,False
(Easy) System.out.println(5); prints:,Input/Output,Easy,0.25,"5",5,False
(Medium) Which keyword is used to exit a loop early?,Basic Syntax and Comments,Medium,0.60,stop,break,False
(Easy) What does && represent?,Operators,Easy,0.25,Logical NOT,Logical AND,False
(Easy) How are string literals written in Java?,Strings,Easy,0.25,Using curly braces {},Using double quotation marks (" "),False
(Easy) Which statement prints text without a new line?,Input/Output,Easy,0.25,println(),print(),False
(Medium) Which correctly declares score with value 100?,Basic Syntax and Comments,Medium,0.60,int score = 100;,int score = 100;,True

Total Score,'3/20'
Operators,0.21
Input/Output,0.19
Data types and Variables,0.57
Basic Syntax and Comments,0.76
Strings,0.21
