Question,SelectedAnswer,CorrectAnswer,Correct
(Easy) How to print "hello world"?,print"hello world",print("hello world"),False
(Easy) Which data type is used to store a single character in Java?,char,char,True
(Easy) Operators - What does != mean in Java?,Compare equality,Compare inequality,False
(Easy) System.out.println(5); prints:,"5",5,False
(Easy) Which keyword is used to declare an integer variable?,int,int,True
(Easy) Set of rules that are used to create a Python Program.,Keyword,Syntax,False
(Easy) Which symbol is used to end a statement in Java?,;,;,True
(Medium) What is the result of "Score: " + 10?,Score: 10,Score: 10,True
(Medium) printin automatically adds:,Null,New line,False
(Medium) What does this read? int x = sc.nextInt();,A decimal,An integer,False
(Medium) What type of error is a missing semicolon?,Runtime,Syntax,False
(Medium) What is the result of "Hello".substring(1  3)?,el,el,True
(Medium) What does break do?,Skips iteration,Exits loop,False
(Medium) Which causes a runtime error?,Wrong data type,Dividing by zero,False
(Hard) What will be the output of the following code? System.out.println(10+20+"Java"+30+40);,1020Java3040,30Java3040,False
(Hard) What happens? "Java".charAt(4);,Returns 'a',StringIndexOutOfBoundsException,False
(Hard) What is the result of "Hello".charAt(10)?,null,StringIndexOutOfBoundsException,False
(Hard) Which is the correct syntax for an else statement?,else if,else {},False
(Hard) System.out.println(1 + 2 + "3" + 4 + 5);,645,3345,False
(Hard) Which method returns the current moment in UTC in modern Java?,Date.getUTC();,Instant.now();,False

Total Score,'5/20'
