Question,Topic,Difficulty,Weight,SelectedAnswer,CorrectAnswer,Correct
(Easy) What does return; do in a void method?,Return values,Easy,0.25,Returns null,Exits the method,False
(Easy) Which method signature is valid?,Methods (Defining  Calling),Easy,0.25,method void(),void method(),False
(Easy) Which method signature is valid?,Methods (Defining  Calling),Easy,0.25,method void(),void method(),False
(Easy) What happens if a method has a return type but does not include a return statement?,Methods (Defining  Calling),Easy,0.25,Runtime error,Compilation error,False
(Easy) Which keyword is used to prevent a method from being overridden?,Methods (Defining  Calling),Easy,0.25,public,final,False
(Easy) Identify the correct method declaration that returns a double value.,Return values,Easy,0.25,int calculate(),double calculate(),False
(Easy) Is this valid? String name(){ return "Java"; },Return values,Easy,0.25,No,Yes,False
(Easy) Which of these is NOT a valid array type declaration?,Arrays (Single Dimensional Arrays  Loop Traversal),Easy,0.25,String arr[] = {"a"};,int arr[ ] = new int();,False
(Easy) Which keyword is used to prevent a method from being overridden?,Methods (Defining  Calling),Easy,0.25,public,final,False
(Easy) Which of the following is NOT allowed?,Parameters,Easy,0.25,void test(int a  int b),void test(int a  int a),False
(Easy) Which of the following can be used to print array elements?,Arrays (Single Dimensional Arrays  Loop Traversal),Easy,0.25,while loop,All of the above,False
(Easy) Which is TRUE about parameters?,Parameters,Easy,0.25,They store input values,They store input values,True
(Easy) What is required to call a static method from another class?,Methods (Defining  Calling),Easy,0.25,Inheritance,Class name,False
(Easy) Identify the correct syntax:,Return values,Easy,0.25,return(5);,return(5);,True
(Medium) What will be the output? void change(int x) { x = 20; } public static void main(String[] args) { int a = 10; change(a); System.out.println(a); },Parameters,Medium,0.60,10,10,True
(Medium) Identify the compilation issue in the code below. int value(){ if(true) return 5; },Return values,Medium,0.60,Compilation error,Compilation error,True
(Easy) Which of the following is a valid array initialization?,Arrays (Single Dimensional Arrays  Loop Traversal),Easy,0.25,int arr = new int[3];,int[] arr = new int[3];,False
(Hard) Determine what will be returned by calc(). static int calc(){ return (int) 4.9; },Return values,Hard,1.00,5,4,False
(Hard) Evaluate what happens if a non-void method does not return a value on all execution paths.,Return values,Hard,1.00,Logical error,Compilation error,False
(Easy) What is the term for values passed into a method?,Methods (Defining  Calling),Easy,0.25,Modifiers,Arguments,False
(Easy) Which of the following is true about array length?,Arrays (Single Dimensional Arrays  Loop Traversal),Easy,0.25,It is fixed after creation,It is fixed after creation,True
(Easy) If a method does not return any value  what return type should it have?,Methods (Defining  Calling),Easy,0.25,empty,void,False
(Medium) What will be printed? int arr[] = {1 2 3 4}; for(int i = 0; i < arr.length; i++) { if(arr[i] % 2 == 0) System.out.print(arr[i] + " "); },Arrays (Single Dimensional Arrays  Loop Traversal),Medium,0.60,2 4,2 4,True
(Easy) If two methods have the same name but different parameters  this is called?,Methods (Defining  Calling),Easy,0.25,Overloading,Overloading,True
(Hard) Evaluate the returned value of abs(-7). static int abs(int x){ if(x<0) return -x; else return x; },Return values,Hard,1.00,7,7,True
(Hard) Determine the result of executing the following program. static int test(){ return 5; } public static void main(String[] args){ System.out.println(test()); },Return values,Hard,1.00,5,5,True
(Medium) Why must the main() method be static?,Methods (Defining  Calling),Medium,0.60,To avoid compilation errors,JVM calls it without creating an object,False
(Hard) What happens here? void modify(String s) { s = s.concat("World"); } If "Hello" is passed?,Parameters,Hard,1.00,Hello,Hello,True
(Hard) Consider the following program that traverses an array using an enhanced for-loop and applies a condition inside the loop. After the loop finishes execution  what value will be printed? int arr[] = {1  3  5}; int count = 0; for(int i : arr) { if(i % 2 == 1) count++; } System.out.print(count);,Arrays (Single Dimensional Arrays  Loop Traversal),Hard,1.00,2,3,False
(Medium) When is method overloading resolved?,Methods (Defining  Calling),Medium,0.60,Compile time,Compile time,True
(Hard) What is printed? int arr[] = {3  6  9}; int i; for(i = 0; i < arr.length; i++); System.out.print(i);,Arrays (Single Dimensional Arrays  Loop Traversal),Hard,1.00,3,3,True
(Hard) Determine which line causes an unreachable code error. int test(){ return 5; System.out.println("Hello"); },Return values,Hard,1.00,println line,println line,True
(Hard) Evaluate what happens when this code runs. static boolean check(){ return 10; },Return values,Hard,1.00,Returns false,Compilation error,False
(Hard) What programming issue is reduced by using methods?,Methods (Defining  Calling),Hard,1.00,Redundant code,Redundant code,True
(Hard) What is printed? int arr[] = {3  6  9}; int i; for(i = 0; i < arr.length; i++); System.out.print(i);,Arrays (Single Dimensional Arrays  Loop Traversal),Hard,1.00,3,3,True
(Hard) Evaluate why the following method will not compile. int test(){ if(true) return 1; },Return values,Hard,1.00,Runtime error,Missing return statement,False
(Hard) What is printed? int arr[] = {1  2  3}; for(int i : arr) arr[0]++; System.out.print(arr[0]);,Arrays (Single Dimensional Arrays  Loop Traversal),Hard,1.00,3,4,False
(Hard) Consider the following code that iterates through an array using a loop. After the loop finishes execution  what value will be stored in the variable sum? int arr[] = {2  4  6}; int sum = 0; for(int i = 0; i < arr.length; i++) { sum += i; } System.out.print(sum);,Arrays (Single Dimensional Arrays  Loop Traversal),Hard,1.00,3,3,True
(Hard) Analyze the following loop carefully. Notice that the loop variable is modified inside the loop body. What value will be printed after the loop completes execution? int arr[] = {1 2 3}; int sum = 0; for(int i = 0; i < arr.length; i++) { sum += arr[i++]; } System.out.print(sum);,Arrays (Single Dimensional Arrays  Loop Traversal),Hard,1.00,4,4,True
(Hard) Evaluate what happens when this code runs. static boolean check(){ return 10; },Return values,Hard,1.00,Returns false,Compilation error,False
(Hard) Determine the output: int arr[] = {5  10  15}; int result = 0; for(int i = 0; i < arr.length; i++) { result += arr[i] / 5; } System.out.println(result);,Arrays (Single Dimensional Arrays  Loop Traversal),Hard,1.00,5,6,False
(Hard) What limits the depth of recursive method calls?,Methods (Defining  Calling),Hard,1.00,CPU speed,Stack size,False
(Hard) Determine the output: int arr[] = {5  10  15}; int result = 0; for(int i = 0; i < arr.length; i++) { result += arr[i] / 5; } System.out.println(result);,Arrays (Single Dimensional Arrays  Loop Traversal),Hard,1.00,5,6,False
(Hard) Which statement is TRUE about object parameters?,Parameters,Hard,1.00,Java uses pass-by-value of object reference,Java uses pass-by-value of object reference,True
(Hard) Consider the following program that traverses an array using an enhanced for-loop and applies a condition inside the loop. After the loop finishes execution  what value will be printed? int arr[] = {1  3  5}; int count = 0; for(int i : arr) { if(i % 2 == 1) count++; } System.out.print(count);,Arrays (Single Dimensional Arrays  Loop Traversal),Hard,1.00,2,3,False
(Hard) Which concept determines which overloaded method is called?,Methods (Defining  Calling),Hard,1.00,Compile-time binding,Compile-time binding,True
(Hard) Which change does NOT support method overloading?,Methods (Defining  Calling),Hard,1.00,Parameter count,Access modifier,False
(Hard) Evaluate which method will cause a compilation error.,Return values,Hard,1.00,void print() { return; },int value() { return; },False
(Hard) Evaluate which method is properly structured.,Return values,Hard,1.00,int m(){ if(true) return 1; else return 2; },int m(){ if(true) return 1; else return 2; },True
(Hard) Which best describes int... nums?,Parameters,Hard,1.00,Variable-length parameter,Variable-length parameter,True
(Hard) What happens if the main method signature is incorrect?,Methods (Defining  Calling),Hard,1.00,Compilation error,Program does not start,False
(Hard) Which is essential to avoid infinite recursion?,Methods (Defining  Calling),Hard,1.00,Loop,Base condition,False
(Hard) What happens here? void modify(String s) { s = s.concat("World"); } If "Hello" is passed?,Parameters,Hard,1.00,Hello,Hello,True
(Hard) What is printed? int arr[] = {1  2  3}; for(int i : arr) arr[0]++; System.out.print(arr[0]);,Arrays (Single Dimensional Arrays  Loop Traversal),Hard,1.00,3,4,False
(Hard) When does Java decide which overloaded method to call?,Methods (Defining  Calling),Hard,1.00,Execution time,Compile time,False
(Hard) What is the role of the main() method in Java?,Methods (Defining  Calling),Hard,1.00,Memory allocation,Program entry point,False
(Hard) Evaluate the result: int arr[] = {1  2  3  4}; int x = 0; for(int i : arr) { if(i % 2 == 0) x++; } System.out.print(x);,Arrays (Single Dimensional Arrays  Loop Traversal),Hard,1.00,2,2,True
(Hard) What is printed? int arr[] = {3  6  9}; int i; for(i = 0; i < arr.length; i++); System.out.print(i);,Arrays (Single Dimensional Arrays  Loop Traversal),Hard,1.00,3,3,True
(Hard) Which best describes int... nums?,Parameters,Hard,1.00,Variable-length parameter,Variable-length parameter,True
